Project_ID,Client_ID,Industry,Project_Type,Start_Date,End_Date,Project_Value,Hours_Worked,Hourly_Rate,Team_Size,Lead_Consultant,Client_Satisfaction,Payment_Terms,Project_Status,Expenses,Profit_Margin,Referral_Source
PROJ-2000,CLI-6054,Healthcare,Market Analysis,2024-03-20,2024-08-01,70781.15,543,130.35,1,Emily Davis,9,Net 45,In Progress,8433.21,88.09,Partner Network
PROJ-2001,CLI-1669,Real Estate,Performance Improvement,2024-01-18,2024-06-06,46360.69,210,220.77,1,Robert Kumar,10,4,Completed,6022.58,87.01,Industry Contact
PROJ-2002,CLI-7829,Real Estate,Digital Transformation,2024-05-02,2024-09-13,336360.03,881,381.79,5,David Rodriguez,7,4,Completed,33099.8,90.16,Existing Client
PROJ-2003,CLI-6410,Real Estate,Technology Audit,2024-05-21,2024-11-12,25720.47,363,70.86,1,Sarah Johnson,7,4,Completed,3272.83,87.28,Website
PROJ-2004,CLI-3315,Non-Profit,Market Analysis,2024-01-14,2024-02-14,10207.09,21,295.46,1,Emily Davis,4,4,Cancelled,1038.17,89.83,Cold Outreach
PROJ-2005,CLI-1377,Energy,Change Management,2024-05-14,2024-09-27,80902.08,742,109.03,2,Kevin Lee,10,4,Completed,9691.15,88.02,Website
PROJ-2006,CLI-6265,Manufacturing,Change Management,2024-03-20,2024-04-02,36582.27,224,204.44,4,Maria Garcia,4,4,Cancelled,3460.94,90.54,Cold Outreach
PROJ-2007,CLI-2637,Real Estate,Market Analysis,2024-03-16,2024-08-01,45946.42,368,124.85,2,Robert Kumar,9,4,Completed,4561.98,90.07,Partner Network
PROJ-2008,CLI-5089,Retail,Change Management,2024-04-20,2024-07-06,161705.67,603,268.17,4,Kevin Lee,10,4,Completed,12086.16,92.53,Conference
PROJ-2009,CLI-4127,Technology,Digital Transformation,2024-03-28,2024-06-27,767878.28,1660,462.58,3,Sarah Johnson,9,4,Completed,107049.87,86.06,Existing Client
PROJ-2010,CLI-6029,Finance,Compliance Assessment,2024-01-20,2024-03-10,4709.57,47,201.18,2,Kevin Lee,2,4,Cancelled,702.26,85.09,LinkedIn
PROJ-2011,CLI-7028,Finance,Digital Transformation,2024-02-18,2024-05-10,487922.52,1051,464.25,6,Michael Chen,9,4,In Progress,35013.5,92.82,Cold Outreach
PROJ-2012,CLI-7002,Retail,System Implementation,2024-02-16,2024-03-30,166468.45,716,232.5,3,Sarah Johnson,7,4,Completed,10461.49,93.72,LinkedIn
PROJ-2013,CLI-4444,Energy,Compliance Assessment,2024-04-19,2024-10-15,34401.25,335,102.69,1,Michael Chen,8,4,Completed,3676.6,89.31,Existing Client
PROJ-2014,CLI-3023,Technology,Digital Transformation,2024-02-19,2024-04-06,132507.1,813,162.99,3,Emily Davis,9,4,Completed,16343.23,87.67,Conference
PROJ-2015,CLI-5501,Energy,Compliance Assessment,2024-05-24,2024-11-02,172028.11,639,269.21,3,James Wilson,7,4,Completed,17452.15,89.86,Cold Outreach
PROJ-2016,CLI-7349,Non-Profit,Compliance Assessment,2024-03-15,2024-09-01,26134.47,243,107.55,2,James Wilson,8,4,Completed,2415.24,90.76,Cold Outreach
PROJ-2017,CLI-7849,Finance,Performance Improvement,2024-01-05,2024-05-13,47513.81,385,123.41,2,Maria Garcia,8,4,In Progress,5282.32,88.88,Existing Client
PROJ-2018,CLI-5070,Technology,Market Analysis,2024-05-19,2024-06-01,15404.33,149,120.55,3,Maria Garcia,3,4,Cancelled,1895.56,87.69,LinkedIn
PROJ-2019,CLI-7881,Technology,System Implementation,2024-03-26,2024-09-14,250335.61,2146,116.65,6,Maria Garcia,10,4,Completed,18981.1,92.42,Cold Outreach
