Date,Product_ID,Product_Name,Category,Supplier,Units_In_Stock,Units_Sold,Reorder_Level,Unit_Cost,Selling_Price,Profit_Margin,Storage_Location,Expiry_Date,Seasonal_Demand,Promotion_Status,Customer_Rating,Return_Rate
2024-01-06,PRD-5000,Biography,Books,Fashion Forward Ltd,95,23,39,18.59,33.06,43.79,Outdoor Storage,N/A,5,Buy 2 Get 1,3.2,3.6
2024-02-21,PRD-5000,Biography,Books,Fashion Forward Ltd,121,29,31,18.59,33.06,43.79,Backroom,N/A,5,BOGO,4.1,2.6
2024-03-22,PRD-5000,Biography,Books,Fashion Forward Ltd,13,4,3,18.59,33.06,43.79,Warehouse C,N/A,5,Clearance Sale,4.5,4.7
2024-04-04,PRD-5000,Biography,Books,Fashion Forward Ltd,127,19,28,18.59,33.06,43.79,Outdoor Storage,N/A,5,BOGO,4.7,4.4
2024-05-14,PRD-5000,Biography,Books,Fashion Forward Ltd,32,20,12,18.59,33.06,43.79,Warehouse C,N/A,5,Clearance Sale,3.1,3.2
2024-06-23,PRD-5000,Biography,Books,Fashion Forward Ltd,35,6,8,18.59,33.06,43.79,Warehouse B,N/A,5,No Promotion,3.8,1.2
2024-07-01,PRD-5000,Biography,Books,Fashion Forward Ltd,63,14,17,18.59,33.06,43.79,Backroom,N/A,5,Buy 2 Get 1,4.7,6.6
2024-01-07,PRD-5001,Moisturizer,Beauty,Book Distributors,87,32,37,17.95,61.01,70.58,Outdoor Storage,2024-09-01,5,Clearance Sale,3.3,3.0
2024-02-21,PRD-5001,Moisturizer,Beauty,Book Distributors,49,39,17,17.95,61.01,70.58,Store Floor,2026-02-09,5,BOGO,4.9,7.6
2024-03-23,PRD-5001,Moisturizer,Beauty,Book Distributors,118,22,46,17.95,61.01,70.58,Backroom,2024-10-24,5,No Promotion,3.3,3.5
2024-04-16,PRD-5001,Moisturizer,Beauty,Book Distributors,42,14,14,17.95,61.01,70.58,Store Floor,2026-02-19,5,BOGO,3.9,2.2
2024-05-05,PRD-5001,Moisturizer,Beauty,Book Distributors,94,11,31,17.95,61.01,70.58,Backroom,2025-04-07,5,No Promotion,4.5,4.2
2024-06-10,PRD-5001,Moisturizer,Beauty,Book Distributors,11,17,9,17.95,61.01,70.58,Outdoor Storage,2025-04-28,5,No Promotion,4.2,4.3
2024-07-02,PRD-5001,Moisturizer,Beauty,Book Distributors,0,26,7,17.95,61.01,70.58,Warehouse C,2025-08-24,5,Clearance Sale,3.3,7.6
2024-01-15,PRD-5002,Wiper Blades,Automotive,Home Essentials Inc,0,18,2,58.29,90.63,35.68,Backroom,N/A,5,BOGO,4.6,5.4
2024-02-06,PRD-5002,Wiper Blades,Automotive,Home Essentials Inc,20,20,13,58.29,90.63,35.68,Cold Storage,N/A,5,Discount 20%,4.8,6.5
2024-03-09,PRD-5002,Wiper Blades,Automotive,Home Essentials Inc,93,4,27,58.29,90.63,35.68,Outdoor Storage,N/A,5,No Promotion,3.9,5.9
2024-04-02,PRD-5002,Wiper Blades,Automotive,Home Essentials Inc,46,10,15,58.29,90.63,35.68,Warehouse B,N/A,5,Buy 2 Get 1,4.3,5.2
2024-05-24,PRD-5002,Wiper Blades,Automotive,Home Essentials Inc,20,18,7,58.29,90.63,35.68,Warehouse A,N/A,5,No Promotion,4.2,5.4
2024-06-14,PRD-5002,Wiper Blades,Automotive,Home Essentials Inc,40,11,14,58.29,90.63,35.68,Warehouse A,N/A,5,Discount 20%,4.9,7.0
2024-07-16,PRD-5002,Wiper Blades,Automotive,Home Essentials Inc,9,2,3,58.29,90.63,35.68,Cold Storage,N/A,5,No Promotion,3.9,5.9
2024-01-11,PRD-5003,Nuts,Food & Beverages,Book Distributors,61,29,28,21.42,34.8,38.43,Warehouse C,2025-02-06,5,No Promotion,4.1,0.9
2024-02-23,PRD-5003,Nuts,Food & Beverages,Book Distributors,221,48,72,21.42,34.8,38.43,Backroom,2024-06-14,5,No Promotion,4.3,1.2
2024-03-06,PRD-5003,Nuts,Food & Beverages,Book Distributors,216,46,85,21.42,34.8,38.43,Store Floor,2024-11-22,5,BOGO,3.0,1.8
2024-04-06,PRD-5003,Nuts,Food & Beverages,Book Distributors,131,20,43,21.42,34.8,38.43,Backroom,2025-02-09,5,No Promotion,4.7,2.1
2024-05-08,PRD-5003,Nuts,Food & Beverages,Book Distributors,168,16,43,21.42,34.8,38.43,Backroom,2026-03-05,5,No Promotion,4.6,2.3
2024-06-01,PRD-5003,Nuts,Food & Beverages,Book Distributors,314,26,71,21.42,34.8,38.43,Warehouse B,2024-10-09,5,Buy 2 Get 1,3.6,0.8
2024-07-12,PRD-5003,Nuts,Food & Beverages,Book Distributors,298,18,54,21.42,34.8,38.43,Warehouse A,2026-04-10,5,Seasonal Sale,4.3,1.0
2024-01-15,PRD-5004,Lipstick,Beauty,Auto Parts Plus,0,39,6,93.72,324.2,71.09,Cold Storage,2025-04-17,5,Discount 20%,4.2,4.5
2024-02-22,PRD-5004,Lipstick,Beauty,Auto Parts Plus,119,19,24,93.72,324.2,71.09,Store Floor,2024-05-02,5,No Promotion,4.9,1.8
2024-03-15,PRD-5004,Lipstick,Beauty,Auto Parts Plus,11,11,5,93.72,324.2,71.09,Warehouse C,2025-06-02,5,Buy 2 Get 1,4.2,2.2
2024-04-24,PRD-5004,Lipstick,Beauty,Auto Parts Plus,77,18,17,93.72,324.2,71.09,Store Floor,2024-11-18,5,No Promotion,4.6,2.0
2024-05-06,PRD-5004,Lipstick,Beauty,Auto Parts Plus,11,14,5,93.72,324.2,71.09,Warehouse A,2026-03-09,5,Buy 2 Get 1,4.3,4.7
2024-05-30,PRD-5004,Lipstick,Beauty,Auto Parts Plus,26,8,9,93.72,324.2,71.09,Cold Storage,2025-05-29,5,Discount 20%,4.9,7.8
2024-07-24,PRD-5004,Lipstick,Beauty,Auto Parts Plus,115,12,36,93.72,324.2,71.09,Outdoor Storage,2025-07-27,5,BOGO,4.1,5.1
2024-01-09,PRD-5005,Crackers,Food & Beverages,Home Essentials Inc,145,36,60,23.98,41.89,42.75,Warehouse C,2024-12-18,5,Buy 2 Get 1,3.8,1.8
2024-02-19,PRD-5005,Crackers,Food & Beverages,Home Essentials Inc,348,7,60,23.98,41.89,42.75,Backroom,2024-08-18,5,Seasonal Sale,3.9,1.3
2024-03-11,PRD-5005,Crackers,Food & Beverages,Home Essentials Inc,181,35,58,23.98,41.89,42.75,Warehouse C,2024-07-11,5,Discount 20%,4.9,1.8
2024-04-03,PRD-5005,Crackers,Food & Beverages,Home Essentials Inc,129,7,36,23.98,41.89,42.75,Warehouse A,2025-03-09,5,No Promotion,4.8,2.8
2024-05-18,PRD-5005,Crackers,Food & Beverages,Home Essentials Inc,370,28,77,23.98,41.89,42.75,Store Floor,2025-03-27,5,Buy 2 Get 1,4.4,2.3
2024-06-22,PRD-5005,Crackers,Food & Beverages,Home Essentials Inc,252,28,96,23.98,41.89,42.75,Store Floor,2026-04-29,5,Buy 2 Get 1,3.6,1.7
2024-07-22,PRD-5005,Crackers,Food & Beverages,Home Essentials Inc,121,34,41,23.98,41.89,42.75,Outdoor Storage,2026-02-20,5,No Promotion,4.0,2.3
2024-01-21,PRD-5006,Bedding,Home & Garden,Fashion Forward Ltd,12,23,10,158.21,283.31,44.16,Warehouse C,N/A,5,No Promotion,4.5,1.8
2024-02-16,PRD-5006,Bedding,Home & Garden,Fashion Forward Ltd,25,23,15,158.21,283.31,44.16,Store Floor,N/A,5,Seasonal Sale,3.8,5.3
2024-03-24,PRD-5006,Bedding,Home & Garden,Fashion Forward Ltd,21,3,3,158.21,283.31,44.16,Warehouse C,N/A,5,No Promotion,4.0,2.2
2024-04-22,PRD-5006,Bedding,Home & Garden,Fashion Forward Ltd,0,25,7,158.21,283.31,44.16,Warehouse B,N/A,8,No Promotion,4.0,4.9
2024-05-22,PRD-5006,Bedding,Home & Garden,Fashion Forward Ltd,65,22,24,158.21,283.31,44.16,Warehouse C,N/A,6,No Promotion,3.3,2.7
2024-06-19,PRD-5006,Bedding,Home & Garden,Fashion Forward Ltd,66,29,17,158.21,283.31,44.16,Cold Storage,N/A,8,Seasonal Sale,3.7,2.0
2024-07-10,PRD-5006,Bedding,Home & Garden,Fashion Forward Ltd,70,25,20,158.21,283.31,44.16,Cold Storage,N/A,7,Clearance Sale,4.2,7.9
2024-01-21,PRD-5007,Yoga Mat,Sports,Health First,101,12,37,92.19,167.26,44.88,Cold Storage,N/A,5,Discount 20%,4.8,7.5
2024-02-18,PRD-5007,Yoga Mat,Sports,Health First,24,23,13,92.19,167.26,44.88,Store Floor,N/A,5,Buy 2 Get 1,4.6,7.3
2024-03-24,PRD-5007,Yoga Mat,Sports,Health First,43,21,18,92.19,167.26,44.88,Cold Storage,N/A,5,No Promotion,4.5,7.4
